,/intelcpu/0/load/1,/intelcpu/0/load/2,/intelcpu/0/load/3,/intelcpu/0/load/4,/intelcpu/0/load/0,/intelcpu/0/temperature/0,/intelcpu/0/temperature/1,/intelcpu/0/temperature/2,/intelcpu/0/temperature/3,/intelcpu/0/temperature/4,/intelcpu/0/clock/1,/intelcpu/0/clock/2,/intelcpu/0/clock/3,/intelcpu/0/clock/4,/intelcpu/0/power/0,/intelcpu/0/power/1,/intelcpu/0/power/2,/intelcpu/0/power/3,/intelcpu/0/clock/0
Time,"CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Total","CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Package","CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Package","CPU Cores","CPU Graphics","CPU DRAM","Bus Speed"
06/15/2021 07:29:50,6.25,6.25,6.25,10.15625,7.2265625,51,52,50,50,52,4093.44971,4193.29,4093.44971,4193.29,16.9281178,11.187273,0,1.27669287,99.84023
06/15/2021 07:29:51,3.91864777,3.93105149,4.724705,5.49355125,4.516983,48,51,49,48,51,4093.44946,4093.44946,4093.44946,4293.13,16.6738319,9.876795,0,1.29305971,99.84023
06/15/2021 07:29:52,1.53846145,0,0,0.7692337,0.5769253,49,52,49,49,52,4193.289,4193.289,4093.44873,4193.289,15.1124611,8.20912,0,1.23156011,99.84021
06/15/2021 07:29:55,2.34375,4.6875,3.125,7.03125,4.296875,49,51,49,48,51,4093.449,4193.289,4193.289,4193.289,17.54681,10.6574984,0,1.3293252,99.84022
06/15/2021 07:29:57,6.153846,5.384612,3.8461566,6.153846,5.384618,49,51,49,48,51,4093.44946,4193.28955,4193.28955,4093.44946,19.85309,12.93233,0,1.30437994,99.84023
06/15/2021 07:29:57,6.25,6.25,3.125,5.46875,5.2734375,49,51,49,48,51,4093.44922,4093.44922,4093.44922,4093.44922,20.4459839,13.5584793,0,1.36342275,99.8402252
06/15/2021 07:30:00,8.59375,11.71875,10.15625,15.625,11.5234375,57,62,60,58,63,4093.44775,4093.44775,4093.44775,4093.44775,25.5744324,21.48625,0,1.61024368,99.8401947
06/15/2021 07:30:02,18.4615364,21.53846,14.6153812,12.3076916,16.7307625,51,53,50,49,53,4093.44946,4093.44946,4093.44946,4093.44946,23.5533581,20.77496,0,1.68334186,99.84023
06/15/2021 07:30:02,19.9999981,20.7692261,15.3846149,16.9230766,18.26923,52,55,52,51,54,4093.449,4093.449,4093.449,4093.449,23.7837677,20.8944435,0,1.62748158,99.84022
06/15/2021 07:30:05,2.34375,3.125,0.78125,3.90625,2.5390625,48,50,47,47,50,4193.29,4293.13037,4193.29,4193.29,15.4502459,8.662969,0,1.25306213,99.84023
06/15/2021 07:30:07,4.6875,9.375,3.125,5.46875,5.6640625,48,50,48,47,50,4293.12939,4293.12939,4193.289,4093.449,19.5999413,12.7784214,0,1.32218969,99.84022
06/15/2021 07:30:07,4.6875,10.9375,2.34375,7.8125,6.4453125,47,49,48,47,49,4193.28955,4293.13,4293.13,4193.28955,20.1590977,13.2795868,0,1.33495045,99.8402252
06/15/2021 07:30:10,0,0,0.7692337,3.076923,0.9615421,47,49,47,47,49,4193.41455,4193.41455,4193.41455,4093.57153,13.5566959,6.9232316,0,1.18989933,99.84321
06/15/2021 07:30:12,4.6875,8.59375,5.46875,9.375,7.03125,48,51,48,47,51,4093.44922,4093.44922,4193.28955,4093.44922,19.6414948,12.8500309,0,1.30174911,99.8402252
06/15/2021 07:30:12,4.651439,10.15625,5.4567337,10.15625,7.605171,49,52,56,48,56,4193.29,4193.29,4193.29,4093.44971,22.00201,15.2546148,0,1.36277664,99.84023
06/15/2021 07:35:14,0,2.34375,0,0.78125,0.78125,46,49,46,46,49,4093.44922,4193.28955,4293.13,4093.44922,12.6929159,5.925052,0,1.16615963,99.8402252
06/15/2021 07:35:19,14.84375,12.5,10.15625,12.5,12.5,55,59,55,56,59,4093.449,4093.449,4093.449,4093.449,29.3516674,22.3863449,0,1.61372054,99.84022
06/15/2021 07:36:38,1.53846145,0.7692337,0,1.53846145,0.9615421,49,49,48,47,49,4093.449,4193.289,4193.289,4193.289,13.5604458,6.58067274,0,1.17354119,99.84022
06/15/2021 07:36:43,14.0625,5.46875,8.59375,7.03125,8.7890625,51,53,51,50,53,4093.44922,4093.44922,4093.44922,4093.44922,20.448595,16.814827,0,1.449723,99.8402252
06/15/2021 07:36:48,14.9305582,19.53125,18.75,15.625,17.2092018,51,54,52,51,54,4093.44922,4093.44922,4093.44922,4093.44922,26.4901333,19.46504,0,1.55535126,99.8402252
06/15/2021 07:36:53,7.8125,7.8125,7.03125,4.6875,6.8359375,48,51,49,48,51,4093.44922,4093.44922,4093.44922,4093.44922,19.7026672,12.59203,0,1.35897553,99.8402252
06/15/2021 07:36:58,8.59375,12.5,9.314907,7.8125,9.555286,48,51,48,48,51,4193.28955,4193.28955,4093.44922,4093.44922,22.8892784,15.8864889,0,1.41548991,99.8402252
06/15/2021 07:37:03,8.581734,17.2743073,12.5,10.9375,12.3233852,48,51,49,48,51,4093.44946,4093.44946,4093.44946,4093.44946,28.9696331,21.951,0,1.59806991,99.8402252
06/15/2021 07:37:08,12.5,15.625,13.28125,13.28125,13.671875,48,51,49,48,51,4093.44824,4093.44824,4093.44824,4093.44824,27.7787914,20.7466564,0,1.56218708,99.8402
06/15/2021 07:37:13,10.76923,14.6153812,12.3076916,8.4615345,11.5384636,48,51,48,48,50,4093.45044,4093.45044,4093.45044,4093.45044,28.0917835,21.0744171,0,1.58047783,99.8402557
06/15/2021 07:37:18,17.1875,50.78125,23.4375,20.3125,27.9296875,66,68,67,57,68,4093.44873,4093.44873,4093.44873,4093.44873,45.14194,38.02412,0,1.75163054,99.84022
06/15/2021 07:37:23,38.28125,57.03125,50,43.75,47.265625,72,74,69,69,74,4093.448,4093.448,4093.448,4093.448,54.46579,51.0760422,0,2.74199557,99.8401947
06/15/2021 07:37:28,11.5384579,8.4615345,7.69230747,6.92307949,8.65385,51,53,52,50,53,4093.44922,4093.44922,4093.44922,4093.44922,19.7492752,12.8958549,0,1.34625781,99.8402252
06/15/2021 07:37:30,3.076923,3.08893919,3.1129837,4.639423,3.47956419,49,52,49,48,52,4093.45,4093.45,4193.29,4193.29,15.35623,12.6252136,0,1.383405,99.84024
06/15/2021 07:37:33,3.93105149,10.15625,7.03125,4.6875,6.45151138,51,53,51,50,53,4093.44849,4093.44849,4093.44849,4093.44849,20.66918,14.8040495,0,1.4416492,99.84021
06/15/2021 07:37:35,7.8125,10.15625,12.5,7.8125,9.5703125,51,56,53,51,56,4093.44873,4093.44873,4093.44873,4093.44873,20.8366261,16.7522449,0,1.525179,99.84022
06/15/2021 07:37:38,0.78125,0,0,1.5625,0.5859375,48,50,48,47,50,4293.13,4293.13,4293.13,4093.44946,13.814662,6.969165,0,1.183555,99.8402252
06/15/2021 07:37:40,1.5625,0.78125,0,0,0.5859375,47,50,48,47,50,4093.44775,4193.288,4093.44775,4193.288,14.1338587,7.405649,0,1.18819952,99.84019
06/15/2021 07:37:44,0.7692337,1.53846145,2.30768919,3.076923,1.92308426,47,49,47,46,49,4193.29053,4193.29053,4093.4502,4093.4502,15.5027676,8.748716,0,1.21641576,99.84025
06/15/2021 07:37:45,0.7692337,3.06526423,3.834498,1.53846145,2.30186582,47,49,47,47,49,4293.13,4293.13,4293.13,4293.13,15.8869286,8.956416,0,1.23193324,99.84023
06/15/2021 07:37:49,1.53846145,0.7692337,1.53846145,3.8461566,1.92307234,47,49,47,46,49,4193.289,4193.289,4093.449,4193.289,14.7645864,8.022186,0,1.20261765,99.8402252
06/15/2021 07:37:50,0.7692337,2.30768919,1.53846145,4.6274066,2.31069326,46,48,47,46,48,4193.28955,4193.28955,4093.44922,4093.44922,16.10402,9.315912,0,1.22756064,99.8402252
06/15/2021 07:37:54,2.30768919,2.30768919,3.08893919,5.384612,3.27223539,46,48,45,45,48,4193.28857,4293.129,4193.28857,4093.44824,15.1120234,8.284357,0,1.22443211,99.8402
06/15/2021 07:37:55,1.5625,0.78125,1.5625,1.5625,1.3671875,46,49,46,45,49,4193.29,4193.29,4093.44946,4193.29,14.8666306,8.06734848,0,1.20277441,99.84023
